Indicator,Disaggregation combinations using this value
#1-2-1,5
#1-4-1,6
#1-4-2,12
#10-1-1,2
#10-2-1,13
#11-1-1,3
#12-4-2,5
#14-5-1,5
#15-1-1,3
#15-2-1,1
#15-5-1,2
#16-1-1,3
#16-1-4,3
#16-2-1,3
#16-2-3,1
#16-3-2,1
#16-5-2,1
#16-7-1,4
#16-9-1,3
#16-b-1,4
#17-1-1,1
#17-1-2,1
#17-11-1,1
#17-13-1,2
#17-8-1,5
#2-1-1,1
#2-1-2,2
#2-2-1,3
#2-2-2,2
#2-3-2,22
#2-4-1,1
#3-1-1,1
#3-2-1,2
#3-2-2,1
#3-3-1,3
#3-3-2,2
#3-3-3,6
#3-3-5,1
#3-4-1,14
#3-5-1,1
#3-6-1,2
#3-7-1,7
#3-7-2,3
#3-8-1,3
#3-9-2,1
#3-a-1,2
#4-1-1,9
#4-2-1,6
#4-3-1,1
#4-5-1,1
#4-6-1,5
#4-a-1,6
#4-c-1,5
#5-2-1,4
#5-3-1,14
#5-4-1,4
#5-6-1,21
#5-b-1,3
#6-1-1,3
#6-2-1,6
#6-6-1,2
#7-1-1,30
#7-1-2,15
#7-2-1,3
#7-3-1,1
#8-1-1,2
#8-3-1,8
#8-5-1,10
#8-5-2,7
#8-6-1,5
#8-7-1,10
#9-1-1,11
#9-1-2,1
#9-2-1,1
#9-3-1,2
#9-5-1,2
#9-b-1,1
#9-c-1,5
