Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2010,A,0,C,National_SDG_Report,NV_IND_MANF,,PT,2017,,14.5
2011,A,0,C,National_SDG_Report,NV_IND_MANF,,PT,2017,,14.7
2012,A,0,C,National_SDG_Report,NV_IND_MANF,,PT,2017,,15.1
2013,A,0,C,National_SDG_Report,NV_IND_MANF,,PT,2017,,15.0
2014,A,0,C,National_SDG_Report,NV_IND_MANF,,PT,2017,,14.4
2015,A,0,C,National_SDG_Report,NV_IND_MANF,,PT,2017,,14.7
2016,A,0,C,National_SDG_Report,NV_IND_MANF,,PT,2017,,14.9
2017,A,0,C,National_SDG_Report,NV_IND_MANF,,PT,2017,,15.1
2010,A,3,C,National_SDG_Report,NV_IND_MANFPC,,CUR_LCU,2017,,659.011
2012,A,3,C,National_SDG_Report,NV_IND_MANFPC,,CUR_LCU,2017,,108.6
2013,A,3,C,National_SDG_Report,NV_IND_MANFPC,,CUR_LCU,2017,,113.3
2015,A,3,C,National_SDG_Report,NV_IND_MANFPC,,CUR_LCU,2017,,120.9
2017,A,3,C,National_SDG_Report,NV_IND_MANFPC,,CUR_LCU,2017,,132.2
