Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF15,,U,,PT,,5.3
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF15,,R,,PT,,16.1
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF15,,,ISCED11A_01,PT,,21.7
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF15,,,ISCED11_1,PT,,19.0
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF15,,,AGG_2_3,PT,,3.6
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF15,,,AGG_5T8,PT,,0.4
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF15,,,,PT,,10.2
2018,A,0,C,National_SDG_Report,SP_DYN_MRBF15,,,,PT,,10.7
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF18,,U,,PT,,20.8
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF18,,R,,PT,,43.3
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF18,,,ISCED11A_01,PT,,59.4
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF18,,,ISCED11_1,PT,,49.6
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF18,,,AGG_2_3,PT,,15.9
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF18,,,AGG_5T8,PT,,0.8
2014,A,0,C,National_SDG_Report,SP_DYN_MRBF18,,,,PT,,31.0
2018,A,0,C,National_SDG_Report,SP_DYN_MRBF18,,,,PT,,29.8
